category_english,order_count,total_gmv,total_freight,avg_item_price,avg_item_freight,avg_review_score,delivered_count,avg_lead_time_days,total_revenue,aov,freight_ratio_pct,gmv_share_pct
health_beauty,8803,1259968.04,182651.86,143.12939225264114,20.74881972054981,4.169033284107691,8614,12.091885805693112,1442619.9,143.12939225264114,14.496547071146344,9.27016678637625
watches_gifts,5603,1203090.21,100791.59,214.7225075852222,17.988861324290557,4.052114938425843,5474,12.819929574128222,1303881.8,214.7225075852222,8.377725058539042,8.851690322046919
bed_bath_table,9299,1031939.54,204154.08,110.97317345951178,21.954412302398104,3.958597698677277,9154,13.032464177772923,1236093.62,110.97317345951178,19.783531116561342,7.592455796939408
sports_leisure,7685,987819.48,168516.26,128.5386441119063,21.927945348080677,4.157839947950553,7495,12.257112205976824,1156335.74,128.5386441119063,17.05941858931553,7.267844138674706
computers_accessories,6661,912684.83,147178.56,137.01919081219035,22.095565230445878,4.014712505629785,6502,13.186484995898066,1059863.39,137.01919081219035,16.125890905845342,6.715043817695133
furniture_decor,6351,732081.75,172741.03,115.27031176192726,27.199028499448904,4.0108644307983,6210,13.12875637040019,904822.78,115.27031176192726,23.595866172049774,5.386263546623135
housewares,5829,635149.98,146490.01,108.96379825012866,25.131242065534398,4.135014582261109,5688,11.111738892714357,781639.99,108.96379825012866,23.063845487328837,4.673091746806164
cool_stuff,3597,634415.95,83927.04,176.3736308034473,23.33251042535446,4.1659716430358635,3524,12.411484933340692,718342.99,176.3736308034473,13.229024270275676,4.667691149084492
auto,3877,591982.92,92440.31,152.69097755996907,23.843257673458858,4.085375290172814,3790,12.331706722310196,684423.23,152.69097755996907,15.615367754191285,4.355491749684404
garden_tools,3480,486417.93,98993.1,139.7752672413793,28.446293103448276,4.1419540229885055,3412,13.664890056472798,585411.03,139.7752672413793,20.35144962686717,3.578801363075755
toys,3863,483475.83,77641.28,125.15553455863319,20.098700491845715,4.172663732850117,3781,11.752449157948613,561117.11,125.15553455863319,16.058978584306892,3.557154974567204
baby,2840,411556.27,68248.43,144.9141795774648,24.03113732394366,4.035211267605634,2764,12.705514807612424,479804.7,144.9141795774648,16.583013059186293,3.028009555606582
perfumery,3149,399511.48,54242.55,126.86931724356938,17.22532550015878,4.204826929183868,3074,11.924081944444444,453754.02999999997,126.86931724356938,13.57721935800193,2.939390472691687
telephony,4181,323217.86,71163.68,77.3063525472375,17.0207318823248,3.996412341545085,4075,12.974857657350602,394381.54,77.3063525472375,22.017248675552768,2.378063074151951
office_furniture,1264,273173.47,68225.72,216.11825158227845,53.97604430379747,3.6186708860759493,1245,20.70659708277555,341399.18999999994,216.11825158227845,24.97523643126838,2.0098633839261097
stationery,2299,232080.79,47029.46,100.94858199217052,20.456485428447152,4.2370595911265765,2252,12.785560052587002,279110.25,100.94858199217052,20.26426228556013,1.707525558516517
computers,181,223040.93,9896.66,1232.2703314917126,54.67767955801105,4.138121546961326,177,13.910157198158611,232937.59,1232.2703314917126,4.437149719560441,1.641015133438202
pet_shop,1703,214462.58,39594.48,125.93222548443921,23.249841456253673,4.2360540223135645,1681,11.38985769603631,254057.06,125.93222548443921,18.4621858041622,1.577900250578228
musical_instruments,624,191235.04,18626.6,306.46641025641026,29.85032051282051,4.169871794871795,607,13.122493726737446,209861.64,306.46641025641026,9.740160589816593,1.407004511161516
small_appliances,627,189653.47,15995.23,302.4776236044657,25.5107336523126,4.154704944178628,606,11.00816810674123,205648.7,302.4776236044657,8.433924251425507,1.3953681702235912
uncategorized,1413,177910.84,27686.87,125.91000707714083,19.594387827317764,3.9228591648973814,1355,12.752533030955309,205597.71,125.91000707714083,15.562216445046293,1.3089722179812584
electronics,2539,160861.7,46881.59,63.35632138637259,18.464588420638044,4.084285151634502,2506,12.941406753421418,207743.29,63.35632138637259,29.144034907003963,1.183533820857885
consoles_games,1058,157333.38999999998,19821.91,148.70830812854442,18.735264650283554,4.050094517958412,1014,13.793242909452845,177155.3,148.70830812854442,12.59866707251398,1.1575744146383116
fashion_bags_accessories,1855,152842.65,31514.32,82.39495956873316,16.988851752021564,4.175202156334231,1812,11.245222199240056,184356.97,82.39495956873316,20.618799791812037,1.1245339664105525
construction_tools_construction,740,145116.63,20798.28,196.10355405405406,28.10578378378378,4.075675675675676,728,10.909530979726291,165914.91,196.10355405405406,14.332113418014186,1.0676900690090927
luggage_accessories,1028,140387.92,30415.01,136.56412451361868,29.586585603112837,4.331712062256809,1013,10.882859173339183,170802.93000000002,136.56412451361868,21.6649765877292,1.032898765584916
home_appliances_2,234,113359.64,10601.28,484.442905982906,45.30461538461539,4.1239316239316235,227,13.892547723935389,123960.92,484.442905982906,9.351899847247221,0.834039226616866
home_construction,478,83635.67,13828.6,174.9700209205021,28.930125523012553,4.01255230125523,471,13.558033537784068,97464.27,174.9700209205021,16.534332779303377,0.6153462513146956
home_appliances,764,80171.53,14818.9,104.93655759162303,19.396465968586387,4.143979057591623,747,11.31172112834052,94990.43,104.93655759162303,18.48399300849067,0.5898589734220299
agro_industry_and_commerce,182,72530.47,5843.6,398.51906593406596,32.10769230769231,4.021978021978022,177,11.432300428960033,78374.07,398.51906593406596,8.05675187269571,0.5336401659793363
furniture_living_room,415,68637.39,17807.89,165.39130120481929,42.91057831325301,4.026506024096386,407,13.985994261306761,86445.28,165.39130120481929,25.944882228184955,0.5049969784007801
fixed_telephony,216,59627.5,4631.53,276.05324074074076,21.442268518518517,3.8796296296296298,211,12.558761628927506,64259.03,276.05324074074076,7.76743952035554,0.4387070564541064
home_confort,373,57993.91,8620.36,155.47965147453084,23.11088471849866,3.9195710455764075,368,13.615084949929548,66614.27,155.47965147453084,14.864250401464568,0.4266879803507504
air_conditioning,253,55207.95,6810.4,218.21324110671935,26.918577075098813,3.9802371541501977,246,11.88108904509184,62018.35,218.21324110671935,12.33590452099743,0.40619038593544055
audio,348,51922.5,5747.95,149.20258620689654,16.517097701149424,3.824712643678161,346,13.516235381877543,57670.45,149.20258620689654,11.0702489286918,0.382017812900731
small_appliances_home_oven_and_coffee,75,47445.71,2747.86,632.6094666666667,36.638133333333336,4.293333333333333,72,9.927397762345679,50193.57,632.6094666666667,5.791587901203291,0.3490800012657777
books_general_interest,509,46869.88,9206.32,92.082278978389,18.087072691552063,4.461689587426326,493,11.54264328797802,56076.2,92.082278978389,19.642294795719554,0.34484335400875754
kitchen_dining_laundry_garden_furniture,244,46282.97,11901.8,189.68430327868853,48.777868852459015,4.032786885245901,237,11.913612625019534,58184.770000000004,189.68430327868853,25.715290094823214,0.3405251860744407
construction_tools_lights,236,42413.9,7690.28,179.7199152542373,32.58593220338983,4.088983050847458,234,9.790447530864197,50104.18,179.7199152542373,18.13150877424618,0.3120586511549004
construction_tools_safety,163,40347.7,3908.83,247.53190184049078,23.980552147239262,3.8773006134969323,155,11.735801896654719,44256.53,247.53190184049078,9.687863248710583,0.2968566634806649
industry_commerce_and_business,235,40219.3,8130.09,171.14595744680852,34.59612765957447,4.165957446808511,232,10.894468594676928,48349.39,171.14595744680852,20.214399554442767,0.2959119653791395
market_place,276,29400.48,5682.84,106.52347826086957,20.59,4.032608695652174,270,12.355230838477366,35083.32,106.52347826086957,19.329072178413416,0.2163129099683506
food,445,29269.65,7251.46,65.77449438202248,16.29541573033708,4.249438202247191,436,9.846985696992865,36521.11,65.77449438202248,24.774672741218293,0.21535033323452998
costruction_tools_garden,188,25804.75,5341.8,137.2593085106383,28.413829787234043,4.23404255319149,184,11.903970536433173,31146.55,137.2593085106383,20.70083996163497,0.1898574636708583
art,199,24044.1,4043.24,120.82462311557788,20.317788944723617,4.030150753768845,192,11.328749035493827,28087.339999999997,120.82462311557788,16.815934054508176,0.17690354846485562
fashion_shoes,238,23493.97,4888.72,98.71415966386554,20.540840336134455,4.180672268907563,233,15.739348225639803,28382.690000000002,98.71415966386554,20.80840317749618,0.17285598797737758
drinks,289,21896.52,5587.45,75.76650519031142,19.333737024221453,4.159169550173011,279,10.451560301340766,27483.97,75.76650519031142,25.51752515924905,0.16110281054527642
signaling_and_security,139,21433.329999999998,6486.5,154.19661870503595,46.66546762589928,4.107913669064748,137,10.877557447958909,27919.829999999998,154.19661870503595,30.26361279371894,0.1576949077910275
furniture_bedroom,93,19545.68,4551.05,210.16860215053765,48.936021505376345,4.161290322580645,88,13.898752498947811,24096.73,210.16860215053765,23.28417328023379,0.14380659493008927
books_technical,259,19213.98,4336.16,74.18525096525096,16.7419305019305,4.382239382239383,255,10.615925517429195,23550.14,74.18525096525096,22.5677345349584,0.1413661248344819
costruction_tools_tools,97,15903.95,2030.22,163.95824742268042,20.930103092783504,4.371134020618556,97,12.209838082283314,17934.170000000002,163.95824742268042,12.76550793985142,0.11701270538750216
food_drink,225,15230.08,4518.75,67.68924444444444,20.083333333333332,4.364444444444445,219,10.839329337899544,19748.83,67.68924444444444,29.6699032441064,0.11205473257071916
fashion_male_clothing,112,10847.720000000001,2167.5099999999998,96.85464285714286,19.352767857142855,3.6785714285714284,106,12.859536927847659,13015.230000000001,96.85464285714286,19.981249516027326,0.07981168605825063
fashion_underwear_beach,121,9541.55,1916.19,78.85578512396694,15.836280991735538,3.909090909090909,117,14.00258270022159,11457.74,78.85578512396694,20.08258616262557,0.07020159011378439
christmas_supplies,128,8816.82,3234.59,68.88140625,25.270234375,4.0390625,125,15.374882037037038,12051.41,68.88140625,36.68658314448974,0.06486941678731616
tablets_printing_image,77,7382.41,1225.64,95.87545454545455,15.9174025974026,4.090909090909091,77,13.04695196007696,8608.05,95.87545454545455,16.60216650118322,0.05431579993522049
cine_photo,65,7157.34,1287.28,110.11292307692308,19.80430769230769,4.230769230769231,63,10.469129188712522,8444.62,110.11292307692308,17.98545269611336,0.05265985599666653
dvds_blu_ray,59,6094.28,1316.05,103.2928813559322,22.30593220338983,4.033898305084746,56,12.97692791005291,7410.33,103.2928813559322,21.594839751373417,0.04483843260252621
books_imported,52,4619.86,756.41,88.84346153846153,14.546346153846153,4.384615384615385,49,7.804387518896447,5376.2699999999995,88.84346153846153,16.373006974237313,0.03399044370181658
